time,temp_2m,shortwave_radiation,wind_speed_10m,pressure_msl,cloud_cover
2026-04-26 00:00:00,8.1,0.0,0.4,695.7,98
2026-04-26 01:00:00,7.4,0.0,2.4,695.0,100
2026-04-26 02:00:00,7.4,0.0,2.5,694.6,100
2026-04-26 03:00:00,7.8,0.0,0.8,694.5,100
2026-04-26 04:00:00,7.8,0.0,2.6,694.5,100
2026-04-26 05:00:00,7.9,0.0,1.5,694.6,100
2026-04-26 06:00:00,7.9,0.0,0.8,694.8,100
2026-04-26 07:00:00,7.9,37.0,3.9,695.6,98
2026-04-26 08:00:00,9.8,300.0,2.2,697.7,84
2026-04-26 09:00:00,11.8,576.0,3.3,699.4,100
2026-04-26 10:00:00,13.4,701.0,5.2,699.9,98
2026-04-26 11:00:00,14.5,761.0,4.9,699.9,100
2026-04-26 12:00:00,14.8,695.0,6.7,699.2,100
2026-04-26 13:00:00,13.7,705.0,7.9,698.2,100
2026-04-26 14:00:00,11.9,518.0,9.6,697.3,100
2026-04-26 15:00:00,11.3,310.0,1.2,696.4,100
2026-04-26 16:00:00,10.9,263.0,2.3,695.4,99
2026-04-26 17:00:00,10.6,215.0,2.6,695.2,91
2026-04-26 18:00:00,9.3,81.0,3.0,694.7,85
2026-04-26 19:00:00,9.3,1.0,3.0,695.3,100
2026-04-26 20:00:00,9.4,0.0,0.4,695.9,100
2026-04-26 21:00:00,9.7,0.0,0.8,696.8,100
2026-04-26 22:00:00,9.2,0.0,0.3,696.9,59
2026-04-26 23:00:00,8.5,0.0,0.4,696.2,79
2026-04-27 00:00:00,8.0,0.0,0.8,695.3,77
2026-04-27 01:00:00,7.7,0.0,0.7,694.8,100
2026-04-27 02:00:00,7.5,0.0,0.4,694.3,100
2026-04-27 03:00:00,6.9,0.0,0.5,693.8,100
2026-04-27 04:00:00,7.1,0.0,0.6,693.6,100
2026-04-27 05:00:00,6.7,0.0,0.9,693.5,100
2026-04-27 06:00:00,6.5,0.0,0.2,693.7,100
2026-04-27 07:00:00,7.8,32.0,1.2,695.2,100
2026-04-27 08:00:00,9.7,200.0,3.0,697.8,98
2026-04-27 09:00:00,11.1,383.0,3.5,699.3,98
2026-04-27 10:00:00,12.4,489.0,6.7,699.9,100
2026-04-27 11:00:00,11.6,359.0,6.4,699.2,99
2026-04-27 12:00:00,13.1,640.0,7.7,699.3,80
2026-04-27 13:00:00,13.9,879.0,9.2,698.8,100
2026-04-27 14:00:00,10.7,448.0,8.9,696.7,82
2026-04-27 15:00:00,11.7,341.0,3.6,696.9,100
2026-04-27 16:00:00,11.5,255.0,3.0,696.2,100
2026-04-27 17:00:00,11.4,260.0,2.4,696.1,98
2026-04-27 18:00:00,9.4,82.0,0.5,695.6,100
2026-04-27 19:00:00,9.6,1.0,0.2,696.0,66
2026-04-27 20:00:00,8.1,0.0,1.0,695.4,80
2026-04-27 21:00:00,8.3,0.0,0.4,695.8,41
2026-04-27 22:00:00,7.2,0.0,1.5,695.2,91
2026-04-27 23:00:00,6.3,0.0,3.4,694.5,41
2026-04-28 00:00:00,7.0,0.0,4.9,695.0,41
2026-04-28 01:00:00,5.6,0.0,1.7,692.8,95
2026-04-28 02:00:00,5.6,0.0,2.2,692.6,94
2026-04-28 03:00:00,5.8,0.0,1.9,692.1,77
2026-04-28 04:00:00,6.1,0.0,1.2,692.5,2
2026-04-28 05:00:00,6.3,0.0,1.1,692.9,0
2026-04-28 06:00:00,6.1,0.0,1.6,693.0,1
2026-04-28 07:00:00,6.7,57.0,2.8,694.8,99
2026-04-28 08:00:00,10.0,270.0,4.6,698.4,49
2026-04-28 09:00:00,11.9,495.0,6.8,699.5,76
2026-04-28 10:00:00,13.0,693.0,9.7,700.0,72
2026-04-28 11:00:00,13.8,739.0,11.6,699.8,66
2026-04-28 12:00:00,13.8,755.0,12.8,699.2,81
2026-04-28 13:00:00,12.2,648.0,10.3,698.1,54
2026-04-28 14:00:00,13.4,642.0,9.3,697.9,60
2026-04-28 15:00:00,13.1,600.0,9.4,697.1,87
2026-04-28 16:00:00,12.7,406.0,7.8,696.6,69
2026-04-28 17:00:00,12.0,298.0,8.0,695.9,70
2026-04-28 18:00:00,10.2,102.0,6.0,695.7,80
2026-04-28 19:00:00,8.5,1.0,4.8,694.7,89
2026-04-28 20:00:00,9.0,0.0,5.7,696.2,100
2026-04-28 21:00:00,8.4,0.0,5.9,696.3,100
2026-04-28 22:00:00,8.3,0.0,5.7,696.9,81
2026-04-28 23:00:00,7.7,0.0,4.3,695.7,99
2026-04-29 00:00:00,6.9,0.0,6.1,694.4,88
2026-04-29 01:00:00,6.5,0.0,3.3,693.8,100
2026-04-29 02:00:00,6.0,0.0,4.7,692.9,99
2026-04-29 03:00:00,5.6,0.0,3.8,692.2,57
2026-04-29 04:00:00,5.9,0.0,4.3,692.2,45
2026-04-29 05:00:00,5.8,0.0,3.9,692.0,51
2026-04-29 06:00:00,6.1,0.0,3.8,692.5,47
2026-04-29 07:00:00,7.0,54.0,4.7,694.3,23
2026-04-29 08:00:00,10.4,274.0,7.3,697.2,94
2026-04-29 09:00:00,11.9,381.0,8.7,698.1,100
2026-04-29 10:00:00,12.6,512.0,10.9,698.7,48
2026-04-29 11:00:00,12.6,545.0,12.9,698.6,34
2026-04-29 12:00:00,13.8,809.0,14.1,698.4,33
2026-04-29 13:00:00,13.9,881.0,14.4,698.2,70
2026-04-29 14:00:00,13.9,762.0,14.1,697.4,68
2026-04-29 15:00:00,13.8,649.0,12.4,696.5,64
2026-04-29 16:00:00,13.4,506.0,12.1,695.6,69
2026-04-29 17:00:00,11.8,286.0,10.3,694.8,36
2026-04-29 18:00:00,10.0,120.0,6.3,694.0,100
2026-04-29 19:00:00,8.3,1.0,4.6,693.4,98
2026-04-29 20:00:00,8.1,0.0,7.6,694.2,98
2026-04-29 21:00:00,7.7,0.0,6.9,694.7,100
2026-04-29 22:00:00,7.5,0.0,6.2,695.1,100
2026-04-29 23:00:00,7.2,0.0,6.1,694.7,100
2026-04-30 00:00:00,7.6,0.0,7.0,694.9,100
2026-04-30 01:00:00,8.2,0.0,5.0,695.1,100
2026-04-30 02:00:00,8.3,0.0,6.7,694.7,100
2026-04-30 03:00:00,8.0,0.0,7.1,694.1,100
2026-04-30 04:00:00,8.1,0.0,7.0,694.0,100
2026-04-30 05:00:00,7.9,0.0,6.9,694.0,100
2026-04-30 06:00:00,7.8,0.0,6.6,694.0,100
2026-04-30 07:00:00,8.5,25.0,5.2,695.3,100
2026-04-30 08:00:00,9.5,127.0,9.4,696.5,99
2026-04-30 09:00:00,11.4,373.0,10.2,697.8,62
2026-04-30 10:00:00,12.9,604.0,11.9,698.7,62
2026-04-30 11:00:00,14.4,797.0,10.5,699.0,55
2026-04-30 12:00:00,15.4,874.0,10.2,699.0,68
2026-04-30 13:00:00,13.9,874.0,11.0,697.7,66
2026-04-30 14:00:00,12.9,610.0,12.7,696.4,77
2026-04-30 15:00:00,13.3,594.0,11.7,695.7,72
2026-04-30 16:00:00,12.7,415.0,8.9,695.1,98
2026-04-30 17:00:00,11.8,281.0,8.5,694.8,98
2026-04-30 18:00:00,10.0,80.0,7.3,694.4,99
2026-04-30 19:00:00,8.7,1.0,4.9,693.5,100
2026-04-30 20:00:00,8.2,0.0,9.2,694.1,100
2026-04-30 21:00:00,7.8,0.0,7.1,694.8,100
2026-04-30 22:00:00,7.9,0.0,6.7,695.7,100
2026-04-30 23:00:00,7.7,0.0,7.5,695.9,100
2026-05-01 00:00:00,7.5,0.0,6.7,695.4,100
2026-05-01 01:00:00,7.4,0.0,3.4,694.8,100
2026-05-01 02:00:00,7.0,0.0,4.7,694.0,100
2026-05-01 03:00:00,7.0,0.0,5.6,693.8,100
2026-05-01 04:00:00,6.8,0.0,5.7,693.3,100
2026-05-01 05:00:00,6.9,0.0,5.2,693.4,100
2026-05-01 06:00:00,7.2,0.0,5.7,694.1,100
2026-05-01 07:00:00,7.7,19.0,3.6,694.9,100
2026-05-01 08:00:00,8.7,100.0,7.0,696.2,100
2026-05-01 09:00:00,8.7,97.0,8.0,696.8,100
2026-05-01 10:00:00,9.6,227.0,5.9,697.6,100
2026-05-01 11:00:00,9.6,153.0,4.7,697.2,100
2026-05-01 12:00:00,9.5,118.0,5.2,696.4,100
2026-05-01 13:00:00,9.9,279.0,9.4,696.6,100
2026-05-01 14:00:00,10.6,389.0,11.6,696.4,98
2026-05-01 15:00:00,11.0,492.0,11.0,695.9,99
2026-05-01 16:00:00,10.4,362.0,7.7,695.4,100
2026-05-01 17:00:00,9.7,196.0,7.5,694.9,99
2026-05-01 18:00:00,8.6,83.0,6.0,694.5,100
2026-05-01 19:00:00,8.4,1.0,5.2,694.8,100
2026-05-01 20:00:00,7.1,0.0,6.9,694.4,100
2026-05-01 21:00:00,6.4,0.0,7.3,694.4,100
2026-05-01 22:00:00,6.2,0.0,6.9,694.9,98
2026-05-01 23:00:00,6.8,0.0,7.0,695.5,100
2026-05-02 00:00:00,7.1,0.0,7.4,695.6,100
2026-05-02 01:00:00,7.5,0.0,3.3,695.6,100
2026-05-02 02:00:00,7.8,0.0,7.5,695.2,100
2026-05-02 03:00:00,7.4,0.0,6.6,694.4,100
2026-05-02 04:00:00,7.5,0.0,6.0,694.4,100
2026-05-02 05:00:00,7.8,0.0,6.5,694.9,100
2026-05-02 06:00:00,7.8,0.0,8.4,695.3,100
2026-05-02 07:00:00,8.0,15.0,6.5,696.0,100
2026-05-02 08:00:00,8.5,72.0,8.8,696.9,100
2026-05-02 09:00:00,9.1,135.0,8.2,697.9,100
2026-05-02 10:00:00,8.7,98.0,7.3,697.8,100
2026-05-02 11:00:00,9.3,218.0,8.3,698.0,100
2026-05-02 12:00:00,9.4,281.0,8.4,697.8,100
2026-05-02 13:00:00,9.0,254.0,6.0,697.3,100
2026-05-02 14:00:00,10.0,272.0,9.1,697.0,100
2026-05-02 15:00:00,10.0,289.0,7.9,696.4,100
2026-05-02 16:00:00,9.4,150.0,6.8,695.5,100
2026-05-02 17:00:00,9.2,133.0,6.6,695.7,100
2026-05-02 18:00:00,8.5,25.0,6.9,695.9,99
2026-05-02 19:00:00,7.5,1.0,5.9,695.1,100
2026-05-02 20:00:00,6.8,0.0,6.2,695.2,100
2026-05-02 21:00:00,6.3,0.0,6.6,695.3,72
2026-05-02 22:00:00,6.3,0.0,6.9,695.6,87
2026-05-02 23:00:00,6.1,0.0,5.1,695.5,100
2026-05-03 00:00:00,5.5,0.0,4.2,694.7,100
2026-05-03 01:00:00,7.1,0.0,3.2,696.0,100
2026-05-03 02:00:00,6.8,0.0,5.2,695.2,100
2026-05-03 03:00:00,6.9,0.0,4.1,694.6,100
2026-05-03 04:00:00,6.4,0.0,3.7,693.7,100
2026-05-03 05:00:00,5.4,0.0,4.0,692.8,100
2026-05-03 06:00:00,5.4,0.0,4.0,693.5,100
2026-05-03 07:00:00,7.7,36.0,6.0,696.0,100
2026-05-03 08:00:00,9.6,205.0,8.5,698.1,100
2026-05-03 09:00:00,11.5,451.0,11.6,699.6,100
2026-05-03 10:00:00,11.6,463.0,12.6,699.5,100
2026-05-03 11:00:00,12.2,549.0,13.2,699.8,96
2026-05-03 12:00:00,12.1,487.0,16.0,699.1,98
2026-05-03 13:00:00,10.5,650.0,13.1,698.3,100
2026-05-03 14:00:00,11.8,539.0,14.7,698.1,100
2026-05-03 15:00:00,10.7,208.0,13.2,696.8,100
2026-05-03 16:00:00,10.6,229.0,11.4,696.4,100
2026-05-03 17:00:00,9.8,117.0,8.6,695.8,88
2026-05-03 18:00:00,8.8,77.0,8.5,695.3,71
2026-05-03 19:00:00,8.7,1.0,8.4,696.1,100
2026-05-03 20:00:00,8.2,0.0,7.9,696.4,100
2026-05-03 21:00:00,8.0,0.0,7.7,696.9,100
2026-05-03 22:00:00,8.2,0.0,7.5,697.1,100
2026-05-03 23:00:00,8.5,0.0,6.7,697.2,100
2026-05-04 00:00:00,8.5,0.0,7.0,696.8,100
2026-05-04 01:00:00,8.4,0.0,5.4,696.6,100
2026-05-04 02:00:00,8.1,0.0,8.5,695.7,100
2026-05-04 03:00:00,7.5,0.0,8.1,695.0,100
2026-05-04 04:00:00,7.2,0.0,7.3,694.5,100
2026-05-04 05:00:00,7.1,0.0,7.0,694.8,100
2026-05-04 06:00:00,7.4,0.0,6.5,695.4,100
2026-05-04 07:00:00,7.9,13.0,6.0,696.2,100
2026-05-04 08:00:00,9.3,166.0,8.2,697.6,100
2026-05-04 09:00:00,10.1,237.0,8.8,698.4,100
2026-05-04 10:00:00,10.6,287.0,11.6,698.8,100
2026-05-04 11:00:00,11.4,444.0,12.8,699.1,100
2026-05-04 12:00:00,11.5,462.0,14.8,698.8,100
2026-05-04 13:00:00,11.2,310.0,15.2,698.4,100
2026-05-04 14:00:00,11.4,449.0,16.1,697.8,99
2026-05-04 15:00:00,11.6,497.0,15.6,697.4,95
2026-05-04 16:00:00,11.0,322.0,13.2,696.7,100
2026-05-04 17:00:00,10.2,172.0,10.3,696.3,100
2026-05-04 18:00:00,8.8,57.0,8.8,696.0,99
2026-05-04 19:00:00,8.9,1.0,5.4,696.2,100
2026-05-04 20:00:00,8.0,0.0,8.4,696.5,100
2026-05-04 21:00:00,7.4,0.0,8.0,696.7,100
2026-05-04 22:00:00,7.6,0.0,7.5,697.2,100
2026-05-04 23:00:00,7.4,0.0,6.9,697.0,100
2026-05-05 00:00:00,7.5,0.0,5.3,697.0,100
2026-05-05 01:00:00,7.8,0.0,4.0,696.9,100
2026-05-05 02:00:00,7.5,0.0,4.8,695.9,100
2026-05-05 03:00:00,7.4,0.0,5.1,695.3,100
2026-05-05 04:00:00,7.7,0.0,5.6,695.5,100
2026-05-05 05:00:00,8.0,0.0,6.0,695.9,100
2026-05-05 06:00:00,7.9,0.0,6.1,696.1,100
2026-05-05 07:00:00,8.5,22.0,6.3,696.8,100
2026-05-05 08:00:00,9.5,113.0,7.9,698.0,94
2026-05-05 09:00:00,11.4,383.0,10.3,699.5,99
2026-05-05 10:00:00,12.1,498.0,11.5,700.1,99
2026-05-05 11:00:00,13.5,750.0,13.1,700.6,99
2026-05-05 12:00:00,12.9,548.0,12.9,699.5,99
2026-05-05 13:00:00,12.8,732.0,12.5,699.4,100
2026-05-05 14:00:00,12.1,436.0,11.6,698.5,100
2026-05-05 15:00:00,13.2,573.0,12.0,698.4,98
2026-05-05 16:00:00,12.8,459.0,11.5,697.7,99
2026-05-05 17:00:00,11.5,272.0,10.8,696.7,97
2026-05-05 18:00:00,9.9,93.0,8.7,696.2,98
2026-05-05 19:00:00,8.4,1.0,5.2,695.6,97
2026-05-05 20:00:00,7.1,0.0,7.8,695.3,100
2026-05-05 21:00:00,6.3,0.0,7.1,695.1,100
2026-05-05 22:00:00,5.6,0.0,6.7,694.8,100
2026-05-05 23:00:00,5.9,0.0,7.0,695.6,100
2026-05-06 00:00:00,6.7,0.0,5.9,696.2,100
2026-05-06 01:00:00,7.3,0.0,4.1,696.3,100
2026-05-06 02:00:00,7.3,0.0,6.3,695.8,100
2026-05-06 03:00:00,7.4,0.0,6.1,695.5,100
2026-05-06 04:00:00,7.6,0.0,6.1,695.8,100
2026-05-06 05:00:00,7.6,0.0,7.0,696.2,100
2026-05-06 06:00:00,7.4,0.0,5.3,696.0,100
2026-05-06 07:00:00,8.1,35.0,5.6,697.0,100
2026-05-06 08:00:00,9.2,122.0,7.4,698.5,99
2026-05-06 09:00:00,10.8,326.0,9.0,699.8,99
2026-05-06 10:00:00,11.4,514.0,12.3,700.4,100
2026-05-06 11:00:00,11.7,524.0,11.8,700.2,100
2026-05-06 12:00:00,11.2,443.0,9.8,699.4,100
2026-05-06 13:00:00,11.4,623.0,10.2,699.2,100
2026-05-06 14:00:00,12.1,480.0,10.5,698.8,100
2026-05-06 15:00:00,12.5,470.0,10.4,698.4,100
2026-05-06 16:00:00,12.3,430.0,11.2,698.0,84
2026-05-06 17:00:00,11.1,258.0,10.9,697.2,96
2026-05-06 18:00:00,9.2,96.0,7.9,696.7,100
2026-05-06 19:00:00,9.2,0.0,5.4,697.0,98
2026-05-06 20:00:00,8.0,0.0,6.0,696.8,100
2026-05-06 21:00:00,7.7,0.0,6.5,697.0,100
2026-05-06 22:00:00,7.7,0.0,6.5,697.2,100
